xflr5 v6.61

Plane name :, TR_0-65
Polar name :, AR10_andTR_point65_at_83_3_m_s_VLM2-2000_0kg
Freestream speed :, 83.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.038808,   0.000047,   0.006953,   0.007000,  -0.000000,  -0.000000,  -0.049939,  -0.000000,   0.000000,   83.3300,   -1.7607
   -2.500,     0.000,   0.004921,   0.000003,   0.006958,   0.006960,  -0.000000,  -0.000000,  -0.060748,  -0.000000,  -0.000000,   83.3300,   16.8754
   -2.000,     0.000,   0.048655,   0.000079,   0.006974,   0.007053,  -0.000000,  -0.000000,  -0.071570,  -0.000000,  -0.000000,   83.3300,    2.0091
   -1.500,     0.000,   0.092387,   0.000276,   0.007019,   0.007296,   0.000000,   0.000000,  -0.082402,  -0.000000,   0.000000,   83.3300,    1.2172
   -1.000,     0.000,   0.136110,   0.000594,   0.007056,   0.007650,   0.000000,   0.000000,  -0.093240,  -0.000000,  -0.000000,   83.3300,    0.9341
   -0.500,     0.000,   0.179819,   0.001033,   0.007080,   0.008113,   0.000000,   0.000000,  -0.104082,  -0.000000,  -0.000000,   83.3300,    0.7887
    0.000,     0.000,   0.223507,   0.001592,   0.007093,   0.008686,   0.000000,   0.000000,  -0.114924,  -0.000000,  -0.000000,   83.3300,    0.7002
    0.500,     0.000,   0.267166,   0.002272,   0.007096,   0.009368,   0.000000,   0.000000,  -0.125762,  -0.000000,  -0.000000,   83.3300,    0.6406
    1.000,     0.000,   0.310791,   0.003071,   0.007096,   0.010168,   0.000000,   0.000000,  -0.136593,  -0.000000,  -0.000000,   83.3300,    0.5978
    1.500,     0.000,   0.354376,   0.003990,   0.007095,   0.011085,   0.000000,   0.000000,  -0.147414,  -0.000000,  -0.000000,   83.3300,    0.5656
    2.000,     0.000,   0.397913,   0.005028,   0.007089,   0.012117,   0.000000,   0.000000,  -0.158222,  -0.000000,  -0.000000,   83.3300,    0.5405
    2.500,     0.000,   0.441396,   0.006184,   0.007006,   0.013189,   0.000000,   0.000000,  -0.169012,  -0.000000,   0.000000,   83.3300,    0.5203
    3.000,     0.000,   0.484820,   0.007457,   0.006734,   0.014192,   0.000000,   0.000000,  -0.179779,  -0.000000,   0.000000,   83.3300,    0.5038
    3.500,     0.000,   0.528177,   0.008847,   0.006502,   0.015349,   0.000000,   0.000000,  -0.190523,  -0.000000,   0.000000,   83.3300,    0.4900
    4.000,     0.000,   0.571461,   0.010353,   0.006339,   0.016693,   0.000000,   0.000000,  -0.201240,  -0.000000,   0.000000,   83.3300,    0.4783
    4.500,     0.000,   0.614666,   0.011974,   0.006213,   0.018187,   0.000000,   0.000000,  -0.211928,  -0.000000,   0.000000,   83.3300,    0.4683
    5.000,     0.000,   0.657785,   0.013708,   0.006100,   0.019808,   0.000000,   0.000000,  -0.222582,  -0.000000,   0.000000,   83.3300,    0.4597
    5.500,     0.000,   0.700813,   0.015554,   0.006018,   0.021573,   0.000000,   0.000000,  -0.233201,  -0.000000,   0.000000,   83.3300,    0.4521
    6.000,     0.000,   0.743743,   0.017512,   0.005945,   0.023458,   0.000000,   0.000000,  -0.243779,  -0.000000,   0.000000,   83.3300,    0.4455
    6.500,     0.000,   0.786569,   0.019580,   0.005911,   0.025490,   0.000000,   0.000000,  -0.254316,  -0.000000,   0.000000,   83.3300,    0.4396
    7.000,     0.000,   0.829284,   0.021756,   0.005926,   0.027682,   0.000000,   0.000000,  -0.264808,  -0.000000,  -0.000000,   83.3300,    0.4343
    7.500,     0.000,   0.871883,   0.024038,   0.006005,   0.030043,   0.000000,   0.000000,  -0.275254,  -0.000000,   0.000000,   83.3300,    0.4296
    8.000,     0.000,   0.914360,   0.026426,   0.006110,   0.032537,   0.000000,   0.000000,  -0.285649,  -0.000000,   0.000000,   83.3300,    0.4253
    8.500,     0.000,   0.956708,   0.028918,   0.006221,   0.035139,   0.000000,   0.000000,  -0.295988,  -0.000000,   0.000000,   83.3300,    0.4214
    9.000,     0.000,   0.998921,   0.031511,   0.006328,   0.037840,   0.000000,   0.000000,  -0.306270,   0.000000,   0.000000,   83.3300,    0.4179
    9.500,     0.000,   1.040995,   0.034205,   0.006433,   0.040637,   0.000000,   0.000000,  -0.316490,  -0.000000,   0.000000,   83.3300,    0.4147
   10.000,     0.000,   1.082922,   0.036996,   0.006539,   0.043535,   0.000000,   0.000000,  -0.326645,  -0.000000,   0.000000,   83.3300,    0.4118
   10.500,     0.000,   1.124696,   0.039884,   0.006658,   0.046542,   0.000000,   0.000000,  -0.336734,  -0.000000,   0.000000,   83.3300,    0.4091
   11.000,     0.000,   1.166314,   0.042865,   0.006852,   0.049717,   0.000000,   0.000000,  -0.346756,   0.000000,   0.000000,   83.3300,    0.4067
   11.500,     0.000,   1.207767,   0.045938,   0.007039,   0.052977,   0.000000,   0.000000,  -0.356705,  -0.000000,   0.000000,   83.3300,    0.4044
   12.000,     0.000,   1.249052,   0.049101,   0.007269,   0.056370,   0.000000,   0.000000,  -0.366580,  -0.000000,   0.000000,   83.3300,    0.4023
   12.500,     0.000,   1.290162,   0.052351,   0.007559,   0.059909,   0.000000,  -0.000000,  -0.376379,  -0.000000,  -0.000000,   83.3300,    0.4004
   13.000,     0.000,   1.331092,   0.055686,   0.007924,   0.063610,   0.000000,   0.000000,  -0.386100,   0.000000,   0.000000,   83.3300,    0.3986
   13.500,     0.000,   1.371836,   0.059103,   0.008493,   0.067596,   0.000000,   0.000000,  -0.395750,   0.000000,   0.000000,   83.3300,    0.3969
   14.000,     0.000,   1.412389,   0.062601,   0.009170,   0.071771,   0.000000,   0.000000,  -0.405320,   0.000000,   0.000000,   83.3300,    0.3954
   14.500,     0.000,   1.452746,   0.066176,   0.009890,   0.076066,   0.000000,   0.000000,  -0.414804,   0.000000,   0.000000,   83.3300,    0.3939
   15.000,     0.000,   1.492902,   0.069825,   0.010654,   0.080480,   0.000000,   0.000000,  -0.424199,   0.000000,   0.000000,   83.3300,    0.3926
   15.500,     0.000,   1.532851,   0.073547,   0.011410,   0.084957,   0.000000,   0.000000,  -0.433499,  -0.000000,  -0.000000,   83.3300,    0.3914
   16.000,     0.000,   1.572589,   0.077339,   0.012155,   0.089494,   0.000000,   0.000000,  -0.442701,  -0.000000,   0.000000,   83.3300,    0.3902
   16.500,     0.000,   1.612111,   0.081196,   0.012937,   0.094133,   0.000000,   0.000000,  -0.451806,  -0.000000,   0.000000,   83.3300,    0.3892
   17.000,     0.000,   1.651411,   0.085118,   0.013818,   0.098936,   0.000000,   0.000000,  -0.460816,   0.000000,  -0.000000,   83.3300,    0.3882
   17.500,     0.000,   1.690485,   0.089101,   0.014946,   0.104046,   0.000000,   0.000000,  -0.469739,   0.000000,   0.000000,   83.3300,    0.3872
   18.000,     0.000,   1.729328,   0.093141,   0.016321,   0.109462,   0.000000,   0.000000,  -0.478577,   0.000000,   0.000000,   83.3300,    0.3864


