xflr5 v6.61

Plane name :, NACA 3213 No Flaps Cruise AR 10 and TR 0.8
Polar name :, AR10_andTR_point8_at_83_3_m_s_VLM2-2000_0kg
Freestream speed :, 83.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.038157,   0.000046,   0.006956,   0.007003,   0.000000,  -0.000000,  -0.050012,  -0.000000,  -0.000000,   83.3300,   -1.7741
   -2.500,     0.000,   0.005246,   0.000004,   0.006961,   0.006965,   0.000000,  -0.000000,  -0.060699,  -0.000000,   0.000000,   83.3300,   15.6467
   -2.000,     0.000,   0.048654,   0.000082,   0.006978,   0.007060,   0.000000,  -0.000000,  -0.071399,  -0.000000,   0.000000,   83.3300,    1.9828
   -1.500,     0.000,   0.092060,   0.000280,   0.007024,   0.007304,   0.000000,  -0.000000,  -0.082109,  -0.000000,  -0.000000,   83.3300,    1.2041
   -1.000,     0.000,   0.135458,   0.000598,   0.007058,   0.007656,   0.000000,  -0.000000,  -0.092825,  -0.000000,  -0.000000,   83.3300,    0.9244
   -0.500,     0.000,   0.178841,   0.001036,   0.007086,   0.008122,   0.000000,  -0.000000,  -0.103544,  -0.000000,  -0.000000,   83.3300,    0.7805
    0.000,     0.000,   0.222202,   0.001594,   0.007101,   0.008695,   0.000000,  -0.000000,  -0.114263,  -0.000000,  -0.000000,   83.3300,    0.6927
    0.500,     0.000,   0.265536,   0.002272,   0.007105,   0.009377,   0.000000,  -0.000000,  -0.124979,  -0.000000,  -0.000000,   83.3300,    0.6337
    1.000,     0.000,   0.308835,   0.003069,   0.007103,   0.010172,   0.000000,  -0.000000,  -0.135688,  -0.000000,  -0.000000,   83.3300,    0.5912
    1.500,     0.000,   0.352095,   0.003984,   0.007099,   0.011083,   0.000000,  -0.000000,  -0.146386,  -0.000000,  -0.000000,   83.3300,    0.5592
    2.000,     0.000,   0.395307,   0.005018,   0.007093,   0.012111,   0.000000,  -0.000000,  -0.157072,  -0.000000,  -0.000000,   83.3300,    0.5343
    2.500,     0.000,   0.438465,   0.006169,   0.006985,   0.013154,   0.000000,  -0.000000,  -0.167739,  -0.000000,  -0.000000,   83.3300,    0.5142
    3.000,     0.000,   0.481564,   0.007437,   0.006720,   0.014157,  -0.000000,  -0.000000,  -0.178385,  -0.000000,   0.000000,   83.3300,    0.4978
