xflr5 v6.61

Plane name :, NACA 3213 No Flaps Cruise AR 8 and TR 0.75
Polar name :, AR8_andTR_point75_at_83_3_m_s_VLM2-2000_0kg
Freestream speed :, 83.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.035207,   0.000049,   0.006883,   0.006933,   0.000000,  -0.000000,  -0.050567,  -0.000000,   0.000000,   83.3300,   -2.1794
   -2.500,     0.000,   0.006070,   0.000005,   0.006887,   0.006892,   0.000000,  -0.000000,  -0.060689,  -0.000000,   0.000000,   83.3300,   15.1564
   -2.000,     0.000,   0.047353,   0.000094,   0.006904,   0.006999,   0.000000,  -0.000000,  -0.070823,  -0.000000,   0.000000,   83.3300,    2.2654
   -1.500,     0.000,   0.088634,   0.000319,   0.006948,   0.007267,   0.000000,  -0.000000,  -0.080966,  -0.000000,  -0.000000,   83.3300,    1.3825
   -1.000,     0.000,   0.129907,   0.000677,   0.006973,   0.007650,   0.000000,  -0.000000,  -0.091115,  -0.000000,   0.000000,   83.3300,    1.0607
   -0.500,     0.000,   0.171164,   0.001170,   0.006988,   0.008158,   0.000000,  -0.000000,  -0.101266,  -0.000000,  -0.000000,   83.3300,    0.8940
    0.000,     0.000,   0.212400,   0.001797,   0.006996,   0.008793,   0.000000,  -0.000000,  -0.111416,  -0.000000,  -0.000000,   83.3300,    0.7922
    0.500,     0.000,   0.253608,   0.002558,   0.006996,   0.009554,   0.000000,  -0.000000,  -0.121563,  -0.000000,   0.000000,   83.3300,    0.7235
    1.000,     0.000,   0.294781,   0.003452,   0.006989,   0.010442,   0.000000,  -0.000000,  -0.131702,  -0.000000,   0.000000,   83.3300,    0.6740
    1.500,     0.000,   0.335912,   0.004479,   0.006987,   0.011467,   0.000000,  -0.000000,  -0.141832,  -0.000000,   0.000000,   83.3300,    0.6367
    2.000,     0.000,   0.376995,   0.005639,   0.006986,   0.012625,   0.000000,  -0.000000,  -0.151949,  -0.000000,  -0.000000,   83.3300,    0.6075
    2.500,     0.000,   0.418023,   0.006929,   0.006980,   0.013909,   0.000000,  -0.000000,  -0.162049,  -0.000000,   0.000000,   83.3300,    0.5842
    3.000,     0.000,   0.458990,   0.008351,   0.006840,   0.015191,   0.000000,  -0.000000,  -0.172129,  -0.000000,   0.000000,   83.3300,    0.5650
    3.500,     0.000,   0.499889,   0.009902,   0.006608,   0.016510,   0.000000,  -0.000000,  -0.182184,  -0.000000,  -0.000000,   83.3300,    0.5490
    4.000,     0.000,   0.540713,   0.011582,   0.006385,   0.017966,   0.000000,  -0.000000,  -0.192213,  -0.000000,  -0.000000,   83.3300,    0.5355
    4.500,     0.000,   0.581457,   0.013389,   0.006255,   0.019644,   0.000000,  -0.000000,  -0.202215,  -0.000000,   0.000000,   83.3300,    0.5239
    5.000,     0.000,   0.622113,   0.015323,   0.006146,   0.021469,   0.000000,  -0.000000,  -0.212185,  -0.000000,   0.000000,   83.3300,    0.5138
    5.500,     0.000,   0.662676,   0.017381,   0.006051,   0.023433,   0.000000,  -0.000000,  -0.222121,  -0.000000,   0.000000,   83.3300,    0.5050
    6.000,     0.000,   0.703138,   0.019564,   0.005967,   0.025531,   0.000000,  -0.000000,  -0.232019,  -0.000000,   0.000000,   83.3300,    0.4973
    6.500,     0.000,   0.743494,   0.021868,   0.005890,   0.027758,   0.000000,  -0.000000,  -0.241876,  -0.000000,   0.000000,   83.3300,    0.4905
    7.000,     0.000,   0.783737,   0.024294,   0.005857,   0.030151,   0.000000,  -0.000000,  -0.251691,  -0.000000,   0.000000,   83.3300,    0.4843
    7.500,     0.000,   0.823861,   0.026837,   0.005881,   0.032718,   0.000000,  -0.000000,  -0.261461,  -0.000000,   0.000000,   83.3300,    0.4789
    8.000,     0.000,   0.863860,   0.029498,   0.005952,   0.035450,   0.000000,   0.000000,  -0.271184,  -0.000000,   0.000000,   83.3300,    0.4739
    8.500,     0.000,   0.903728,   0.032274,   0.006036,   0.038310,   0.000000,  -0.000000,  -0.280855,  -0.000000,   0.000000,   83.3300,    0.4695
    9.000,     0.000,   0.943458,   0.035164,   0.006123,   0.041287,   0.000000,  -0.000000,  -0.290471,  -0.000000,  -0.000000,   83.3300,    0.4654
    9.500,     0.000,   0.983045,   0.038164,   0.006212,   0.044376,   0.000000,  -0.000000,  -0.300029,   0.000000,   0.000000,   83.3300,    0.4617
   10.000,     0.000,   1.022482,   0.041273,   0.006305,   0.047578,   0.000000,  -0.000000,  -0.309527,  -0.000000,   0.000000,   83.3300,    0.4583
   10.500,     0.000,   1.061764,   0.044490,   0.006402,   0.050892,   0.000000,   0.000000,  -0.318961,  -0.000000,   0.000000,   83.3300,    0.4552
   11.000,     0.000,   1.100885,   0.047810,   0.006511,   0.054321,   0.000000,   0.000000,  -0.328329,  -0.000000,  -0.000000,   83.3300,    0.4524
   11.500,     0.000,   1.139839,   0.051233,   0.006657,   0.057890,   0.000000,   0.000000,  -0.337630,  -0.000000,  -0.000000,   83.3300,    0.4498
   12.000,     0.000,   1.178620,   0.054755,   0.006841,   0.061597,   0.000000,  -0.000000,  -0.346861,  -0.000000,  -0.000000,   83.3300,    0.4474


