xflr5 v6.61

Plane name :, 3213 50% with 0 deg flap
Polar name :, Landing Data for 3213 50% with 0 deg flap at 40.28 m/s and 2000.0kg
Freestream speed :, 40.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.260140,   0.002207,   0.007451,   0.009659,   0.000000,  -0.000000,  -0.119251,   0.000000,   0.000000,   40.2800,    0.6151
    0.500,     0.000,   0.306828,   0.003074,   0.007487,   0.010562,   0.000000,  -0.000000,  -0.131282,   0.000000,   0.000000,   40.2800,    0.5714
    1.000,     0.000,   0.353569,   0.004092,   0.007498,   0.011590,   0.000000,  -0.000000,  -0.143365,   0.000000,  -0.000000,   40.2800,    0.5401
    1.500,     0.000,   0.399008,   0.005223,   0.007207,   0.012431,   0.000000,  -0.000000,  -0.154985,   0.000000,  -0.000000,   40.2800,    0.5161
    2.000,     0.000,   0.444497,   0.006486,   0.006878,   0.013364,   0.000000,  -0.000000,  -0.166641,   0.000000,   0.000000,   40.2800,    0.4971
    2.500,     0.000,   0.490275,   0.007896,   0.006635,   0.014531,   0.000000,  -0.000000,  -0.178391,   0.000000,  -0.000000,   40.2800,    0.4813
    3.000,     0.000,   0.536247,   0.009453,   0.006487,   0.015940,   0.000000,  -0.000000,  -0.190171,  -0.000000,  -0.000000,   40.2800,    0.4681
    3.500,     0.000,   0.581967,   0.011141,   0.006366,   0.017507,   0.000000,   0.000000,  -0.201787,   0.000000,  -0.000000,   40.2800,    0.4567
    4.000,     0.000,   0.627431,   0.012958,   0.006290,   0.019248,   0.000000,  -0.000000,  -0.213216,   0.000000,   0.000000,   40.2800,    0.4467
    4.500,     0.000,   0.671822,   0.014876,   0.006260,   0.021136,   0.000000,  -0.000000,  -0.224014,  -0.000000,  -0.000000,   40.2800,    0.4375
    5.000,     0.000,   0.715580,   0.016888,   0.006288,   0.023176,   0.000000,  -0.000000,  -0.234362,  -0.000000,  -0.000000,   40.2800,    0.4289
    5.500,     0.000,   0.762430,   0.019163,   0.006364,   0.025527,   0.000000,  -0.000000,  -0.246405,   0.000000,  -0.000000,   40.2800,    0.4224
    6.000,     0.000,   0.811586,   0.021703,   0.006466,   0.028169,   0.000000,  -0.000000,  -0.259744,  -0.000000,  -0.000000,   40.2800,    0.4175
    6.500,     0.000,   0.862744,   0.024504,   0.006581,   0.031085,   0.000000,  -0.000000,  -0.274170,   0.000000,   0.000000,   40.2800,    0.4138
    7.000,     0.000,   0.915193,   0.027554,   0.006710,   0.034264,   0.000000,  -0.000000,  -0.289318,   0.000000,  -0.000000,   40.2800,    0.4109
    7.500,     0.000,   0.967392,   0.030784,   0.006860,   0.037645,   0.000000,  -0.000000,  -0.304372,   0.000000,   0.000000,   40.2800,    0.4082
    8.000,     0.000,   1.017452,   0.034070,   0.007032,   0.041103,   0.000000,  -0.000000,  -0.318340,   0.000000,   0.000000,   40.2800,    0.4051
    8.500,     0.000,   1.061912,   0.037159,   0.007218,   0.044377,   0.000000,   0.000000,  -0.329299,   0.000000,   0.000000,   40.2800,    0.4007
    9.000,     0.000,   1.105383,   0.040309,   0.007375,   0.047684,   0.000000,  -0.000000,  -0.339712,   0.000000,   0.000000,   40.2800,    0.3962
    9.500,     0.000,   1.149265,   0.043606,   0.007537,   0.051143,   0.000000,  -0.000000,  -0.350360,  -0.000000,  -0.000000,   40.2800,    0.3921
   10.000,     0.000,   1.193273,   0.047038,   0.007756,   0.054793,   0.000000,   0.000000,  -0.361105,  -0.000000,  -0.000000,   40.2800,    0.3883
   10.500,     0.000,   1.236810,   0.050561,   0.008030,   0.058591,   0.000000,  -0.000000,  -0.371678,   0.000000,   0.000000,   40.2800,    0.3846
   11.000,     0.000,   1.280224,   0.054199,   0.008330,   0.062529,   0.000000,  -0.000000,  -0.382208,   0.000000,   0.000000,   40.2800,    0.3811
   11.500,     0.000,   1.325265,   0.058143,   0.008838,   0.066981,   0.000000,  -0.000000,  -0.393553,   0.000000,   0.000000,   40.2800,    0.3780
   12.000,     0.000,   1.434935,   0.067525,   0.011260,   0.078785,   0.000000,  -0.000000,  -0.435391,   0.000000,   0.000000,   40.2800,    0.3838
   12.500,     0.000,   1.572042,   0.080304,   0.014497,   0.094801,   0.000000,  -0.000000,  -0.489781,  -0.000000,  -0.000000,   40.2800,    0.3933
   13.000,     0.000,   1.672250,   0.090590,   0.017116,   0.107706,   0.000000,  -0.000000,  -0.526254,   0.000000,  -0.000000,   40.2800,    0.3972
   13.500,     0.000,   1.715728,   0.095661,   0.018526,   0.114187,   0.000000,  -0.000000,  -0.536452,   0.000000,   0.000000,   40.2800,    0.3937
   14.000,     0.000,   1.749748,   0.099852,   0.019898,   0.119750,   0.000000,  -0.000000,  -0.542416,   0.000000,   0.000000,   40.2800,    0.3893
   14.500,     0.000,   1.780256,   0.103743,   0.021317,   0.125061,   0.000000,  -0.000000,  -0.547059,  -0.000000,  -0.000000,   40.2800,    0.3846
   15.000,     0.000,   1.810194,   0.107752,   0.022825,   0.130577,   0.000000,  -0.000000,  -0.551602,  -0.000000,  -0.000000,   40.2800,    0.3801
   15.500,     0.000,   1.834623,   0.111194,   0.024588,   0.135782,   0.000000,  -0.000000,  -0.554068,   0.000000,   0.000000,   40.2800,    0.3754
   16.000,     0.000,   1.855731,   0.114138,   0.026427,   0.140564,   0.000000,  -0.000000,  -0.555435,   0.000000,   0.000000,   40.2800,    0.3705
   16.500,     0.000,   1.875594,   0.116999,   0.028423,   0.145422,   0.000000,  -0.000000,  -0.556602,   0.000000,   0.000000,   40.2800,    0.3658
   17.000,     0.000,   1.892174,   0.119582,   0.030790,   0.150372,   0.000000,  -0.000000,  -0.556874,   0.000000,   0.000000,   40.2800,    0.3612
   17.500,     0.000,   1.904801,   0.121809,   0.033727,   0.155536,   0.000000,  -0.000000,  -0.556247,  -0.000000,  -0.000000,   40.2800,    0.3568


