xflr5 v6.61

Plane name :, 3213 50% with 10 deg flap
Polar name :, Take-off Data for 3213 50% with 10 deg flap at 46.5 m/s and 2000.0kg
Freestream speed :, 46.5 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.534695,   0.010813,   0.007708,   0.018522,   0.000000,  -0.000000,  -0.256760,   0.000000,   0.000000,   46.4700,    0.6361
    0.500,     0.000,   0.580405,   0.012354,   0.007593,   0.019948,   0.000000,  -0.000000,  -0.268384,   0.000000,   0.000000,   46.4700,    0.6114
    1.000,     0.000,   0.625918,   0.014042,   0.007449,   0.021491,   0.000000,  -0.000000,  -0.279972,   0.000000,   0.000000,   46.4700,    0.5904
    1.500,     0.000,   0.670713,   0.015830,   0.007350,   0.023180,   0.000000,  -0.000000,  -0.291118,   0.000000,   0.000000,   46.4700,    0.5722
    2.000,     0.000,   0.714794,   0.017710,   0.007303,   0.025013,   0.000000,  -0.000000,  -0.301823,   0.000000,   0.000000,   46.4700,    0.5559
    2.500,     0.000,   0.758711,   0.019711,   0.007306,   0.027017,   0.000000,  -0.000000,  -0.312399,   0.000000,   0.000000,   46.4700,    0.5413
    3.000,     0.000,   0.802843,   0.021861,   0.007338,   0.029199,   0.000000,  -0.000000,  -0.323087,   0.000000,   0.000000,   46.4700,    0.5283
    3.500,     0.000,   0.847099,   0.024157,   0.007382,   0.031539,   0.000000,  -0.000000,  -0.333837,   0.000000,   0.000000,   46.4700,    0.5167
    4.000,     0.000,   0.891577,   0.026599,   0.007448,   0.034047,   0.000000,  -0.000000,  -0.344701,   0.000000,   0.000000,   46.4700,    0.5062
    4.500,     0.000,   0.936268,   0.029173,   0.007533,   0.036706,   0.000000,  -0.000000,  -0.355650,   0.000000,   0.000000,   46.4700,    0.4966
    5.000,     0.000,   0.981451,   0.031888,   0.007648,   0.039536,   0.000000,  -0.000000,  -0.366829,   0.000000,   0.000000,   46.4700,    0.4879
    5.500,     0.000,   1.026762,   0.034732,   0.007780,   0.042512,   0.000000,  -0.000000,  -0.378051,   0.000000,   0.000000,   46.4700,    0.4798
    6.000,     0.000,   1.072280,   0.037723,   0.007937,   0.045659,   0.000000,  -0.000000,  -0.389378,   0.000000,   0.000000,   46.4700,    0.4725
    6.500,     0.000,   1.117717,   0.040851,   0.008124,   0.048975,   0.000000,  -0.000000,  -0.400668,   0.000000,   0.000000,   46.4700,    0.4656
    7.000,     0.000,   1.162813,   0.044116,   0.008338,   0.052455,   0.000000,  -0.000000,  -0.411802,   0.000000,   0.000000,   46.4700,    0.4593
    7.500,     0.000,   1.206895,   0.047432,   0.008558,   0.055990,   0.000000,  -0.000000,  -0.422411,   0.000000,   0.000000,   46.4700,    0.4530
    8.000,     0.000,   1.250660,   0.050896,   0.008754,   0.059650,   0.000000,  -0.000000,  -0.432912,   0.000000,   0.000000,   46.4700,    0.4472
    8.500,     0.000,   1.293365,   0.054393,   0.008996,   0.063389,   0.000000,  -0.000000,  -0.442885,   0.000000,   0.000000,   46.4700,    0.4415
    9.000,     0.000,   1.335298,   0.057948,   0.009288,   0.067236,   0.000000,  -0.000000,  -0.452480,   0.000000,   0.000000,   46.4700,    0.4360
    9.500,     0.000,   1.376493,   0.061555,   0.009635,   0.071189,   0.000000,  -0.000000,  -0.461741,   0.000000,   0.000000,   46.4700,    0.4306
   10.000,     0.000,   1.416089,   0.065179,   0.010079,   0.075258,   0.000000,  -0.000000,  -0.470283,   0.000000,   0.000000,   46.4700,    0.4254
   10.500,     0.000,   1.455786,   0.068820,   0.010691,   0.079511,   0.000000,  -0.000000,  -0.478709,   0.000000,   0.000000,   46.4700,    0.4202
   11.000,     0.000,   1.497156,   0.072646,   0.011586,   0.084232,   0.000000,  -0.000000,  -0.487715,   0.000000,   0.000000,   46.4700,    0.4152
   11.500,     0.000,   1.539258,   0.076671,   0.012686,   0.089357,   0.000000,  -0.000000,  -0.496913,   0.000000,   0.000000,   46.4700,    0.4104
   12.000,     0.000,   1.584305,   0.081126,   0.013959,   0.095084,   0.000000,  -0.000000,  -0.507242,   0.000000,   0.000000,   46.4700,    0.4060
   12.500,     0.000,   1.631271,   0.086033,   0.015325,   0.101358,   0.000000,  -0.000000,  -0.518360,   0.000000,   0.000000,   46.4700,    0.4020
   13.000,     0.000,   1.681124,   0.091568,   0.016791,   0.108359,   0.000000,  -0.000000,  -0.530649,  -0.000000,  -0.000000,   46.4700,    0.3986
   13.500,     0.000,   1.721692,   0.096323,   0.018107,   0.114430,   0.000000,  -0.000000,  -0.539184,   0.000000,   0.000000,   46.4700,    0.3945
   14.000,     0.000,   1.757533,   0.100711,   0.019376,   0.120086,   0.000000,  -0.000000,  -0.545902,   0.000000,   0.000000,   46.4700,    0.3902
   14.500,     0.000,   1.788714,   0.104688,   0.020738,   0.125426,   0.000000,   0.000000,  -0.550757,  -0.000000,  -0.000000,   46.4700,    0.3855
   15.000,     0.000,   1.818518,   0.108715,   0.022225,   0.130940,   0.000000,  -0.000000,  -0.555190,  -0.000000,  -0.000000,   46.4700,    0.3810
   15.500,     0.000,   1.843700,   0.112249,   0.023903,   0.136152,   0.000000,  -0.000000,  -0.557875,   0.000000,   0.000000,   46.4700,    0.3762
   16.000,     0.000,   1.866613,   0.115378,   0.025581,   0.140960,   0.000000,  -0.000000,  -0.559873,   0.000000,   0.000000,   46.4700,    0.3715
   16.500,     0.000,   1.888621,   0.118493,   0.027382,   0.145875,   0.000000,  -0.000000,  -0.561787,   0.000000,   0.000000,   46.4700,    0.3669
   17.000,     0.000,   1.905994,   0.121194,   0.029622,   0.150817,   0.000000,   0.000000,  -0.562224,   0.000000,  -0.000000,   46.4700,    0.3622


